"index","sequence_label","source","generator","chisqr_p","chisqr_X2.X-squared","chisqr_df.df","ks_p","ks_D.D","freq_p","freq_X2.X-squared","freq_df.df","eqdist_empiricalMean","eqdist_diff","gap_p","gap_X2.X-squared","gap_df.df","serial_autocorrelation","perm_observed_stat","perm_p","entropy_val","fft_dominant_frequency","fft_dominant_period","fft_max_magnitude"
54,"randoms-39","QRNG","IBM Qiskit (Single-Qubit)",2.34338774888411e-07,48.2,9,0.000290806395594535,0.094,2.34338774888411e-07,48.2,9,0.4956,0.00440000000000002,2.48963835720417e-149,854.008163265306,46,0.0215670347142354,4.956,0.963,3.26048586013701,0.048,20.8333333333333,161.517587756719
55,"randoms-4","QRNG","IBM Qiskit (Single-Qubit)",0.000273528962543667,31.2,9,6.06219924238892e-05,0.102,0.000273528962543667,31.2,9,0.5168,0.0168,7.91997383900994e-118,691.355102040816,43,-0.0850298207001123,5.168,1,3.27942369375756,0.468,2.13675213675214,165.098372335017
56,"randoms-40","QRNG","IBM Qiskit (Single-Qubit)",9.07756846724892e-05,33.96,9,6.06219924238892e-05,0.102,9.07756846724892e-05,33.96,9,0.5222,0.0222,6.74495745170771e-123,713.122448979592,42,-0.0482697478560943,5.222,1,3.27641874580719,0.306,3.26797385620915,207.760610958685
57,"randoms-41","QRNG","IBM Qiskit (Single-Qubit)",7.10477619205093e-08,50.96,9,2.63813610118885e-05,0.106,7.10477619205093e-08,50.96,9,0.4988,0.00119999999999998,3.04694375200781e-136,781.151020408163,43,-0.0283728071057193,4.988,1,3.26059746010545,0.28,3.57142857142857,163.08842351054
58,"randoms-42","QRNG","IBM Qiskit (Single-Qubit)",8.82870210066024e-06,39.64,9,0.00122740533716177,0.086,8.82870210066024e-06,39.64,9,0.496,0.004,2.96750592916134e-132,761.755102040816,43,0.0447963477120994,4.96,1,3.2713540081607,0.144,6.94444444444444,183.562597676136
59,"randoms-43","QRNG","IBM Qiskit (Single-Qubit)",2.32890743494574e-08,53.52,9,1.71956722454752e-05,0.108,2.32890743494574e-08,53.52,9,0.5016,0.00160000000000005,2.19381418573655e-121,699.669387755102,40,-0.0683466662124986,5.016,1,3.25759980440807,0.432,2.31481481481481,161.195235121064
60,"randoms-44","QRNG","IBM Qiskit (Single-Qubit)",1.90554268839453e-07,48.68,9,9.0799859524961e-05,0.1,1.90554268839453e-07,48.68,9,0.4868,0.0132,5.16654620505244e-143,814.016326530612,43,0.0396530180347742,4.868,1,3.25957715302903,0.108,9.25925925925926,199.747150211612
61,"randoms-45","QRNG","IBM Qiskit (Single-Qubit)",4.51787705238757e-05,35.68,9,0.000866669529359261,0.088,4.51787705238757e-05,35.68,9,0.503,0.003,1.82965173967184e-100,594.408163265306,39,-0.0726243878765058,5.03,1,3.27679793385166,0.442,2.26244343891403,146.614806698333
62,"randoms-46","QRNG","IBM Qiskit (Single-Qubit)",1.44558073846363e-07,49.32,9,1.79437673449939e-06,0.118,1.44558073846363e-07,49.32,9,0.5058,0.00580000000000003,5.78533327721817e-144,824.848979591837,45,0.0499809219239325,5.058,1,3.25476251899913,0.442,2.26244343891403,163.330772198997
63,"randoms-47","QRNG","IBM Qiskit (Single-Qubit)",2.95245894050716e-05,36.72,9,0.00122740533716177,0.086,2.95245894050716e-05,36.72,9,0.502,0.002,6.95876526801224e-157,893.771428571428,47,0.0124567306437301,5.02,0.222,3.27581547109761,0.286,3.4965034965035,166.699697990406
64,"randoms-48","QRNG","IBM Qiskit (Single-Qubit)",7.61573924339518e-08,50.8,9,1.79437673449939e-06,0.118,7.61573924339518e-08,50.8,9,0.5158,0.0158,1.24657314305477e-130,753.85306122449,43,0.0235069154129002,5.158,1,3.26004616479732,0.036,27.7777777777778,202.56926546912
65,"randoms-49","QRNG","IBM Qiskit (Single-Qubit)",8.90277166251793e-08,50.44,9,6.06219924238892e-05,0.102,8.90277166251793e-08,50.44,9,0.5102,0.0102,3.3715502272287e-107,630.387755102041,40,-0.00192649465370511,5.102,1,3.25535555116187,0.112,8.92857142857143,160.485900077906
66,"randoms-5","QRNG","IBM Qiskit (Single-Qubit)",0.00705749738454794,22.64,9,0.000866669529359261,0.088,0.00705749738454794,22.64,9,0.4938,0.00619999999999998,1.31384045597004e-91,550.816326530612,39,-0.00480867485908218,4.938,1,3.29066905112619,0.292,3.42465753424658,149.907271317964
67,"randoms-50","QRNG","IBM Qiskit (Single-Qubit)",7.78045024182463e-07,45.4,9,9.0799859524961e-05,0.1,7.78045024182463e-07,45.4,9,0.5124,0.0124,2.89306812985274e-124,719.791836734694,42,0.0400331272872252,5.124,1,3.26360875681055,0.394,2.53807106598985,164.667476451931
68,"randoms-51","QRNG","IBM Qiskit (Single-Qubit)",0.00248365240887965,25.48,9,0.00172444017038355,0.084,0.00248365240887965,25.48,9,0.507,0.00700000000000001,2.28159314216299e-118,691.008163265306,42,0.0334119998810418,5.07,1,3.28789139027254,0.112,8.92857142857143,154.554369233959
69,"randoms-52","QRNG","IBM Qiskit (Single-Qubit)",0.000212214061642558,31.84,9,0.00019887127149966,0.096,0.000212214061642558,31.84,9,0.5102,0.0102,1.71198288140578e-122,708.114285714286,41,-0.0251497791773298,5.102,1,3.27916677986601,0.198,5.05050505050505,143.519010561658
70,"randoms-53","QRNG","IBM Qiskit (Single-Qubit)",1.64418486693112e-06,43.64,9,2.63813610118885e-05,0.106,1.64418486693112e-06,43.64,9,0.4902,0.00979999999999998,7.07774323677682e-111,651.371428571429,41,-0.052761865076776,4.902,1,3.26842298648281,0.222,4.5045045045045,168.041725702594
71,"randoms-54","QRNG","IBM Qiskit (Single-Qubit)",0.0567852545544052,16.52,9,4.20066493879215e-07,0.124,0.0567852545544052,16.52,9,0.5402,0.0402,1.29430726096009e-126,737.30612244898,44,-0.0134154033148286,5.402,1,3.29891066940782,0.156,6.41025641025641,185.492902230719
72,"randoms-55","QRNG","IBM Qiskit (Single-Qubit)",0.000265005097780969,31.28,9,4.53877766275709e-06,0.114,0.000265005097780969,31.28,9,0.5238,0.0238,3.21861881688418e-127,734.183673469388,42,-0.0206099447548343,5.238,1,3.28256930114944,0.3,3.33333333333333,178.873570442687
73,"randoms-56","QRNG","IBM Qiskit (Single-Qubit)",0.000481928681508835,29.76,9,9.07998595249615e-05,0.1,0.000481928681508835,29.76,9,0.5196,0.0196,1.64797232760979e-131,761.183673469388,44,-0.00642909757712135,5.196,1,3.28281907235947,0.486,2.05761316872428,161.953530127145
74,"randoms-57","QRNG","IBM Qiskit (Single-Qubit)",6.07626399223214e-08,51.32,9,4.01514172449904e-05,0.104,6.07626399223214e-08,51.32,9,0.475,0.025,1.21928104739666e-153,874.918367346939,46,0.0071393353696799,4.75,1,3.25714326927899,0.21,4.76190476190476,196.593415214543
75,"randoms-58","QRNG","IBM Qiskit (Single-Qubit)",2.63122121818475e-14,83.96,9,1.11478073853892e-06,0.12,2.63122121818475e-14,83.96,9,0.4816,0.0184,1.310131565312e-156,889.30612244898,46,-0.0582859871363136,4.816,1,3.22217416993108,0.232,4.31034482758621,215.631708702605
76,"randoms-59","QRNG","IBM Qiskit (Single-Qubit)",1.00466582632034e-06,44.8,9,0.000134916725306085,0.0980000000000001,1.00466582632034e-06,44.8,9,0.5074,0.00739999999999996,1.30996416501657e-116,682.408163265306,42,-0.074241306797129,5.074,1,3.26330360777822,0.178,5.61797752808989,161.293865723405
77,"randoms-6","QRNG","IBM Qiskit (Single-Qubit)",6.64829843166812e-06,40.32,9,2.8652561090907e-06,0.116,6.64829843166812e-06,40.32,9,0.5104,0.0104,6.90324521358618e-115,673.983673469388,42,-0.0288426354535942,5.104,1,3.26980991152526,0.298,3.35570469798658,158.01151250807
78,"randoms-60","QRNG","IBM Qiskit (Single-Qubit)",3.68430242255283e-11,68.04,9,1.11190264833003e-05,0.11,3.68430242255283e-11,68.04,9,0.4902,0.00979999999999998,2.18103256426115e-127,731.942857142857,41,0.0402344669177459,4.902,1,3.24278187286607,0.048,20.8333333333333,152.97649378071
79,"randoms-61","PRNG","Mersenne Twister (MT19937)",0.637119407169399,7,9,1.11478073853892e-06,0.12,0.637119407169399,7,9,0.500444444444444,0.00044444444444447,3.22292565178465e-102,605.955102040816,40,0.00495006897318242,5.504,0.37,3.31174319287015,0.372,2.68817204301075,139.282951253566
80,"randoms-62","PRNG","Mersenne Twister (MT19937)",0.360287044246161,9.88,9,2.63813610118885e-05,0.106,0.360287044246161,9.88,9,0.497111111111111,0.00288888888888889,2.46810746534203e-96,577.004081632653,40,-0.0482205184342137,5.474,1,3.30744829165661,0.436,2.29357798165138,200.213064994472
81,"randoms-63","PRNG","Mersenne Twister (MT19937)",0.467321742982128,8.68,9,5.8401501314882e-06,0.112888888888889,0.467321742982128,8.68,9,0.48,0.02,2.22626200538035e-112,661.697959183673,42,-0.00625096170528247,5.32,1,3.3089937357958,0.192,5.20833333333333,145.47709231208
82,"randoms-64","PRNG","Mersenne Twister (MT19937)",0.574903423864456,7.6,9,7.13247100230033e-06,0.112,0.574903423864456,7.6,9,0.512,0.012,4.8332828862591e-97,577.591836734694,39,-0.0185695998714665,5.608,1,3.31094169242552,0.05,20,194.189392486838
83,"randoms-65","PRNG","Mersenne Twister (MT19937)",0.478839243824184,8.56,9,3.36695327794022e-07,0.124888888888889,0.478839243824184,8.56,9,0.476888888888889,0.0231111111111111,1.41166713429857e-126,734.097959183673,43,-0.063875639922778,5.292,1,3.30938012616051,0.032,31.25,163.694919296056
84,"randoms-66","PRNG","Mersenne Twister (MT19937)",0.257003594285071,11.28,9,1.11190264833003e-05,0.11,0.257003594285071,11.28,9,0.488444444444444,0.0115555555555555,1.67317320492058e-101,602.440816326531,40,-0.0390894728392281,5.396,1,3.30567985423804,0.214,4.67289719626168,165.583029916136
85,"randoms-67","PRNG","Mersenne Twister (MT19937)",0.77146862589841,5.68,9,4.53877766275708e-06,0.114,0.77146862589841,5.68,9,0.503555555555556,0.00355555555555553,9.77076550132668e-120,700.69387755102,43,0.122462329306038,5.532,1,3.31368357391007,0.172,5.81395348837209,151.172412046737
86,"randoms-68","PRNG","Mersenne Twister (MT19937)",0.166259716884981,12.92,9,0.000421853348617758,0.092,0.166259716884981,12.92,9,0.491333333333333,0.00866666666666666,1.76112097779593e-115,679.861224489796,43,0.0254721897461534,5.422,1,3.30334235107988,0.282,3.54609929078014,154.633220588093
87,"randoms-69","PRNG","Mersenne Twister (MT19937)",0.914025429676107,3.96,9,0.00019887127149966,0.096,0.914025429676107,3.96,9,0.496666666666667,0.00333333333333335,2.50873739543969e-117,685.918367346939,42,-0.0438998641348382,5.47,1,3.31610568849705,0.462,2.16450216450216,149.925272714813
88,"randoms-7","QRNG","IBM Qiskit (Single-Qubit)",5.3425342909417e-07,46.28,9,1.11478073853892e-06,0.12,5.3425342909417e-07,46.28,9,0.5312,0.0312,2.00974235890392e-105,621.685714285714,40,-0.0951188685170977,5.312,1,3.26099001463576,0.32,3.125,192.289055382315
89,"randoms-70","PRNG","Mersenne Twister (MT19937)",0.530120263763937,8.04,9,2.54783207655732e-07,0.126,0.530120263763937,8.04,9,0.493777777777778,0.00622222222222224,1.81772238371569e-115,673.828571428572,41,-0.0174046449772878,5.444,1,3.31039195090001,0.014,71.4285714285714,183.364200204637
90,"randoms-71","PRNG","Mersenne Twister (MT19937)",0.657933306213629,6.8,9,5.05283356920103e-05,0.102888888888889,0.657933306213629,6.8,9,0.474888888888889,0.0251111111111111,1.20830717353404e-117,690.457142857143,43,0.0421193959715613,5.274,1,3.31143357220093,0.406,2.46305418719212,155.900571056438
