,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
gap_p,0.06226184930400463,-0.14427309707303082,0.09016173509490934,-0.307895500391372,-0.426444326685973,0.21500692006798555,-0.4790197823914317,0.5167509316681188,-0.2558298217303167,0.2037097772558984,0.06560764394593271,-0.18003156323864092,0.06228301293029788,0.004082540258594697,0.015555830395608526,-0.002370393893775668,-1.813649155672869e-17,-2.2722281779662787e-17,-1.66808309033066e-16,1.5049405208230228e-16
gap_X2.X-squared,-0.08301045089829767,0.36698209512214064,-0.23802995219285106,-0.033254105970543436,0.4226141432268549,-0.13691439178336298,-0.04368875333732562,0.16273688564618344,0.07632703624893597,0.6267464709472338,-0.05267827048358835,-0.2869727707107491,0.29632783227675036,-0.03242627108589958,-0.046929416999092886,-0.00998515446427001,2.366275485797323e-16,5.381827031799219e-17,-4.0423032017888703e-16,1.617826421786595e-16
gap_df.df,-0.27310199143477865,-0.35979648089170696,0.16400279423261685,0.07965170117864928,-0.0845648879635923,-0.17411825877131687,0.0772189892485023,-0.11660046849952174,0.04077841697997026,0.22568785907516647,-0.05907726085928781,-0.19676741083992536,0.03300458403481666,0.7775162840046954,0.07257654182809196,9.935248792795489e-06,3.2656754877168825e-19,5.57038162553805e-18,-2.2639443911093e-16,-8.830053285678907e-17
serial_autocorrelation,-0.08305523578109897,-0.3057180063782517,-0.0357109053209467,0.03396289144061047,0.2902608084455843,-0.17031362724256777,-0.12258994331637162,0.5620355542724252,0.6059576433517192,-0.18688855953991337,0.15150581113037623,0.1461019980580907,-0.07832994367188024,-0.0044508557531007745,0.021724880767518693,0.00030019314865178097,1.5490368886517982e-16,-4.95059777218678e-17,-2.5126099174444422e-18,-6.858740280068266e-19
perm_observed_stat,0.36232497103890327,-0.061519265434169794,0.09128158842336308,0.29969844050567074,0.04500226017916542,0.077348148540505,-0.08666661456176093,-0.04886507518856142,0.0570791055108462,0.05332852014849014,0.03936402927021085,-0.08452883318973363,0.19454406233381963,-0.0505352815249257,0.8328333434882734,0.008275498586853535,-1.3831834060893167e-16,7.436574492090032e-17,-2.127106085217085e-16,2.4931919808446465e-16
perm_p,-0.015332105447332878,0.12359312913907096,0.3124085512002154,-0.07612590590696906,0.006031245749062369,0.597732802955964,0.5849677749055571,0.2922895446587327,0.14464113336116524,0.004883587301471106,-0.07865620450659423,0.01967873777837586,0.24257058664081452,0.09592563429371265,-0.024239755069809407,0.0023049192419820077,-1.625626482236709e-16,-4.66916125902345e-17,1.7385095387406065e-17,2.2084553827444487e-17
entropy_val,0.38565692778499033,-0.15527643361972102,-0.015756621520866126,0.0538474802482384,0.07453794710200802,-0.06984466080374357,0.1282308043458142,0.03403352432928833,-0.08377705036829936,0.0017819650478235287,0.19069329751550365,-0.16936692180669466,0.041057296363511415,0.04006816760620387,-0.21499556681134033,0.8212121698590098,3.063631418039074e-16,-2.5233095596658192e-16,2.614193952098705e-16,-1.2362207855634653e-16
fft_dominant_frequency,0.1739500899186457,0.4150636919368329,-0.17620638879314482,-0.010388139420147968,-0.3343994736550015,-0.05803690519494265,-0.020932951768481416,-0.016196280032914293,0.19842540322933278,0.13098528344834676,0.48571081312286774,0.47630353086906785,0.10518316948825238,0.3464099006628535,-0.001848790112189892,0.006206898067925735,-6.597285971581895e-17,9.662905194554202e-17,5.805517704491552e-17,-1.2307738247495953e-16
fft_dominant_period,-0.07690918624470797,-0.20636431639554167,0.06833693995865925,-0.16596282753989258,0.5511283911884716,0.4609801243305697,-0.2910431934269304,-0.2475502387001636,-0.19137704683836507,0.09444994278757807,0.3561789446238948,0.2652514793421852,-0.029984486537926083,0.11459603686885836,-0.01582536510342214,-0.0017865788382718584,-1.0773137401051974e-17,5.95382303197215e-17,1.2095693110964957e-16,-3.891829542876726e-17
fft_max_magnitude,0.14659200911522535,0.4550465800516736,-0.13874841692073062,0.01391069244639481,0.2424619659301789,0.12783618093038687,-0.19431799852000686,0.18694821486898333,-0.12503534394317087,-0.46983548887910004,-0.15996345653862712,-0.25652128717088074,-0.24255338312014904,0.4636571912125958,0.050781512368455635,0.0003872285162470709,-1.9463801981394298e-17,-2.2442379662473068e-17,7.269280190268418e-17,3.978193132367387e-17
