index,sequence_label,source,generator,chisqr_p,chisqr_X2.X-squared,chisqr_df.df,ks_p,ks_D.D,freq_p,freq_X2.X-squared,freq_df.df,eqdist_empiricalMean,eqdist_diff,gap_p,gap_X2.X-squared,gap_df.df,serial_autocorrelation,perm_observed_stat,perm_p,entropy_val,fft_dominant_frequency,fft_dominant_period,fft_max_magnitude,uniformity_score,patterns_score,periodicity_score,randomness_score
13,randoms-11,QRNG,IBM Qiskit (Single-Qubit),1.57789713195122e-10,64.8,9,1.11478073853892e-06,0.12,1.57789713195122e-10,64.8,9,0.474,0.026,7.242905704991469e-140,798.751020408163,43,0.0801952096374903,4.74,1.0,3.24273298007838,0.374,2.67379679144385,160.358299666314,0.8759410425438862,0.8979619370324532,0.4509913318650724,0.7416314371471372
14,randoms-110,PRNG,XORShift,0.267573183031153,11.12,9,1.53302488328857e-07,0.128,0.267573183031153,11.12,9,0.502222222222222,0.0022222222222222,2.1264849434723e-117,686.269387755102,42,0.039404246240018,5.52,1.0,3.30572303023826,0.234,4.27350427350427,172.105190358879,0.6237466123550157,0.8171793596239012,0.15080738283201042,0.5305777849369758
15,randoms-111,PRNG,XORShift,0.873986517078043,4.52,9,9.0799859524961e-05,0.1,0.873986517078043,4.52,9,0.501555555555556,0.0015555555555555,1.11655968720912e-98,588.551020408163,40,0.0013842063508073,5.514,1.0,3.31562631189939,0.41,2.4390243902439,162.600195002707,0.31036445742496005,0.7418843295580821,0.07893461856019385,0.37706113518107864
16,randoms-112,PRNG,XORShift,0.566688078099164,7.68,9,0.0004218533486177,0.092,0.566688078099164,7.68,9,0.508444444444444,0.0084444444444444,1.03269495341235e-115,675.028571428571,41,0.038191501084404,5.576,1.0,3.31092162300012,0.186,5.37634408602151,162.210020101175,0.4862136516640573,0.8147776345541691,0.10241429271590995,0.46780185964471205
17,randoms-113,PRNG,XORShift,0.415421679292159,9.24,9,7.25300358764768e-07,0.121777777777778,0.415421679292159,9.24,9,0.469555555555556,0.0304444444444444,5.76739565502056e-119,696.922448979592,43,0.0295927568158751,5.226,1.0,3.30860410417056,0.244,4.0983606557377,159.395061168364,0.6878980608163996,0.7977486490477413,0.10827867421263539,0.5313084613589254
18,randoms-114,PRNG,XORShift,0.534146216909691,8.0,9,2.63813610118885e-05,0.106,0.534146216909691,8.0,9,0.48,0.02,2.36355043746868e-121,708.595918367347,43,0.0345231233723017,5.32,1.0,3.30994345126109,0.04,25.0,152.957811658027,0.5754673157149008,0.8075127655290341,0.08735890847491834,0.49011299657295115
19,randoms-115,PRNG,XORShift,0.0729639969092868,15.72,9,1.71956722454751e-05,0.108,0.0729639969092868,15.72,9,0.507333333333333,0.0073333333333333,4.84825010225195e-115,677.706122448979,43,0.011258771262612,5.566,1.0,3.29810200597684,0.146,6.84931506849315,150.122373359986,0.746557392405697,0.7614399550673601,0.14242686003726124,0.5501414025034395
20,randoms-116,PRNG,XORShift,0.928856585228348,3.72,9,2.63813610118885e-05,0.106,0.928856585228348,3.72,9,0.494666666666667,0.0053333333333333,4.53846327369704e-132,760.857142857143,43,-0.0522584225406829,5.452,1.0,3.3165571317744,0.17,5.88235294117647,163.09072211419,0.30382423225683675,0.6356502654444218,0.0751877252977117,0.33822074099965677
21,randoms-117,PRNG,XORShift,0.59969260077795,7.36,9,2.32948075973841e-06,0.116888888888889,0.59969260077795,7.36,9,0.483333333333333,0.0166666666666667,4.8395886393657596e-79,482.955102040816,37,0.062077870385237,5.35,1.0,3.31119717434385,0.112,8.92857142857143,152.806553001205,0.5269091277341722,0.8620628161510788,0.0805471007908467,0.4898396815586992
22,randoms-118,PRNG,XORShift,0.967382306440808,2.92,9,7.13247100230033e-06,0.112,0.967382306440808,2.92,9,0.492444444444444,0.0075555555555555,1.2425736948579001e-74,458.257142857143,36,-0.0129303645970854,5.432,0.991,3.31776408083025,0.352,2.84090909090909,144.870895036498,0.2960675106855159,0.21353569938721415,0.029338288885153416,0.17964716631929448
23,randoms-119,PRNG,XORShift,0.723804162809856,6.16,9,4.53877766275709e-06,0.114,0.723804162809856,6.16,9,0.520666666666667,0.0206666666666666,1.61856711461218e-110,652.571428571428,42,-0.0320719979831712,5.686,1.0,3.31310760145054,0.464,2.1551724137931,156.206066222048,0.48378605207629743,0.675627536599536,0.07805855508784576,0.41249071458789305
24,randoms-12,QRNG,IBM Qiskit (Single-Qubit),9.524485039741661e-09,55.56,9,4.53877766275709e-06,0.114,9.524485039741661e-09,55.56,9,0.4978,0.0021999999999999,1.04626141013399e-104,618.171428571429,40,0.011026647627985,4.978,1.0,3.24477431101225,0.5,2.0,163.0,0.7586770369607145,0.7609802565478647,0.4461784649836119,0.6552785861640636
25,randoms-120,PRNG,XORShift,0.47114644132994,8.64,9,0.0004218533486177,0.092,0.47114644132994,8.64,9,0.496,0.004,6.58765378998897e-109,644.673469387755,42,-0.0519555539309383,5.464,0.905,3.30970249465895,0.294,3.40136054421769,135.888840622181,0.5126228002285682,0.6362500675788532,0.0514984329191967,0.4001237669088727
26,randoms-13,QRNG,IBM Qiskit (Single-Qubit),0.0002409661173371,31.52,9,0.000134916725306,0.098,0.0002409661173371,31.52,9,0.511,0.011,6.87242488129234e-130,753.285714285714,44,0.131719078090065,5.11,1.0,3.28149259208746,0.126,7.93650793650794,174.081693757688,0.7966070021412646,1.0,0.2803993859620297,0.6923354627010981
27,randoms-14,QRNG,IBM Qiskit (Single-Qubit),0.0114635569151167,21.28,9,2.54783207655732e-07,0.126,0.0114635569151167,21.28,9,0.5512,0.0512,1.32305109999084e-146,840.771428571429,46,0.0429073370168866,5.512,1.0,3.29176246673945,0.182,5.49450549450549,188.817015307431,0.9941984136683684,0.8241168937805254,0.259327315564184,0.6925475410043592
28,randoms-15,QRNG,IBM Qiskit (Single-Qubit),3.72774153289645e-07,47.12,9,1.71956722454752e-05,0.108,3.72774153289645e-07,47.12,9,0.518,0.018,9.32635351272423e-110,645.885714285714,41,-0.0784633874478657,5.18,1.0,3.25953888148537,0.16,6.25,164.934211825698,0.83592257692679,0.5837538543330808,0.3740358859908107,0.5979041057502271
29,randoms-16,QRNG,IBM Qiskit (Single-Qubit),2.02728490519238e-10,64.24,9,6.06219924238887e-05,0.102,2.02728490519238e-10,64.24,9,0.4926,0.0074,1.1584387771059e-151,865.326530612245,46,0.0248376751321073,4.926,1.0,3.24506870293717,0.454,2.20264317180617,161.454914729478,0.7820069557473435,0.7883316673878582,0.4412972874365276,0.6705453035239097
